Results
Start date ,2011-01-26
End date ,2011-09-17
Option Type ,C
Expiry date ,2011-09-17
Strike price ,500


Date,Stock Price,Option Price,Implied Volatility,Delta,Hedging error,Cumulative hedging error,PNL
20110126,616.5,131.8,0.298807,0.838389,0,0,0
20110127,616.79,131.4,0.294901,0.841673,0.639007,0.639007,-0.4
20110128,600.99,118.5,0.297403,0.813107,0.236736,0.875743,-13.3
20110131,600.36,116.1,0.283366,0.82117,2.12096,2.9967,-15.7
20110201,611.04,125.5,0.288371,0.837927,1.48719,4.48389,-6.3
20110202,612,125.5,0.282329,0.844152,2.28747,6.77136,-6.3
20110203,610.15,124.55,0.288127,0.837789,1.67147,8.44284,-7.25
20110204,610.98,124.3,0.28062,0.844869,2.61241,11.0552,-7.5
20110207,614.295,127.6,0.285808,0.847667,2.10836,13.1636,-4.2
20110208,618.38,129.8,0.275127,0.862266,3.36627,16.5299,-2
20110209,616.5,127.5,0.270001,0.863325,4.04029,20.5702,-4.3
20110210,616.44,127.2,0.268536,0.864878,4.28372,24.8539,-4.6
20110211,624.5,134.95,0.276653,0.872615,3.49985,28.3537,3.15
20110214,628.15,138.9,0.285075,0.87298,2.73006,31.0838,7.1
20110215,624.15,135.05,0.282451,0.869312,3.08329,34.1671,3.25
20110216,624.22,134.2,0.2747,0.875324,3.98933,38.1564,2.4
20110217,625.26,135.45,0.279583,0.87403,3.64497,41.8014,3.65
20110218,630.08,139.45,0.277874,0.883053,3.85343,45.6548,7.65
20110222,610.21,123.3,0.289713,0.844466,2.45257,48.1074,-8.5
20110223,611.32,125.85,0.305154,0.837261,0.835602,48.943,-5.95
20110224,608.82,123.3,0.302407,0.835124,1.28832,50.2313,-8.5
20110225,610.04,123.85,0.299173,0.839949,1.75321,51.9845,-7.95
20110228,613.4,125.2,0.286967,0.85417,3.2213,55.2058,-6.6
20110301,600.76,114.75,0.289774,0.829998,2.87066,58.0765,-17.05
20110302,600.79,115.3,0.295206,0.827316,2.34178,60.4183,-16.5
20110303,609.56,123.05,0.299539,0.84155,1.84342,62.2617,-8.75
20110304,600.62,115.85,0.303323,0.823291,1.51551,63.7772,-15.95
