 Testing the delta hedging implementation
Simulated stock price,Option price,Delta,Hedging error,Stock purchase,Borrowed amount
100,4.39167,0.428711,0,42.8711,-38.4794
102.846,4.35797,0.427796,1.24997,43.9971,-39.6392
104.278,5.64464,0.500961,0.572091,52.2393,-46.5946
105.513,6.35159,0.53724,0.479027,56.6856,-50.334
108.016,6.99679,0.568148,1.17352,61.3689,-54.3721
107.599,8.45819,0.62914,-0.530051,67.6947,-59.2365
107.179,8.16012,0.619278,-0.502094,66.3735,-58.2134
105.755,7.86421,0.609123,-1.09376,64.4179,-56.5537
107.315,6.98398,0.573466,0.731054,61.5417,-54.5577
109.113,7.87094,0.612514,0.869486,66.8331,-58.9621
110.285,8.97272,0.655906,0.4796,72.3363,-63.3636
109.355,9.71907,0.683196,-0.882801,74.7108,-64.9917
109.352,9.05521,0.66217,-0.22726,72.4098,-63.3546
109.941,9.01477,0.662431,0.196387,72.8281,-63.8133
111.96,9.36981,0.676569,1.17283,75.7488,-66.379
114.399,10.7444,0.722187,1.44147,82.6173,-71.8728
115.856,12.5305,0.77222,0.700691,89.4663,-76.9357
115.285,13.6405,0.799723,-0.857566,92.1963,-78.5558
115.558,13.1514,0.790528,-0.158234,91.3519,-78.2004
116.605,13.3325,0.796436,0.480835,92.8688,-79.5363
115.726,14.1418,0.815672,-1.03708,94.3941,-80.2523
114.977,13.3954,0.801484,-0.909246,92.1524,-78.757
117.281,12.7643,0.788822,1.56059,92.5142,-79.7499
118.551,14.5955,0.830183,0.722987,98.4189,-83.8234
117.054,15.6296,0.851035,-1.56186,99.6173,-83.9877
118.351,14.3388,0.828821,0.824334,98.0922,-83.7534
117.534,15.3947,0.850521,-0.917505,99.9649,-84.5703
117.664,14.6705,0.83907,-0.0913795,98.7281,-84.0576
118.061,14.7459,0.842409,0.158223,99.4557,-84.7098
120.77,15.0486,0.84993,2.12924,102.646,-87.5976
119.576,17.3742,0.888854,-1.21955,106.286,-88.9118
118.949,16.2908,0.874675,-0.702979,104.042,-87.7509
119.797,15.7124,0.867239,0.608647,103.893,-88.1805
122.801,16.4222,0.880439,2.49478,108.119,-91.6964
119.964,19.095,0.916993,-2.68451,110.006,-90.9112
120.211,16.5075,0.885512,0.1204,106.449,-89.9411
116.102,16.6964,0.890192,-3.71599,103.353,-86.657
118.643,13.1252,0.82813,2.10807,98.252,-85.1268
116.481,15.2516,0.871547,-1.81685,101.519,-86.2675
117.246,13.3682,0.837949,0.723709,98.2458,-84.8776
117.628,13.9785,0.852687,0.425254,100.3,-86.3212
119.224,14.2711,0.860583,1.48545,102.603,-88.3314
119.918,15.633,0.886285,0.711914,106.282,-90.6487
119.942,16.2204,0.897296,0.136269,107.623,-91.4027
120.353,16.2107,0.899265,0.505909,108.229,-92.0184
120.447,16.5518,0.906154,0.240274,109.144,-92.5917
120.838,16.6074,0.909006,0.529872,109.843,-93.2351
121.521,16.935,0.91537,0.813368,111.236,-94.3013
123.599,17.5346,0.924672,2.10721,114.289,-96.7543
122.922,19.4537,0.945833,-0.44797,116.263,-96.8096
124.029,18.7896,0.941615,1.25418,116.788,-97.9984
124.772,19.8146,0.952224,0.918522,118.811,-98.9961
121.514,20.5014,0.958964,-2.87999,116.528,-96.0263
119.991,17.392,0.933309,-1.24144,111.988,-94.5964
120.881,15.953,0.918111,1.01886,110.982,-95.0292
117.72,16.747,0.930342,-2.68687,109.52,-92.7727
118.707,13.8339,0.890601,1.13488,105.72,-91.8865
121.778,14.6881,0.907524,3.00648,110.516,-95.828
125.047,17.5077,0.945067,3.14492,118.178,-100.67
125.897,20.6201,0.970525,0.825731,122.186,-101.566
128.208,21.428,0.976167,2.25035,125.152,-103.724
129.106,23.6784,0.985923,0.86656,127.288,-103.61
132.36,24.5501,0.989167,3.19318,130.926,-106.376
133.754,27.7667,0.99526,1.34477,133.12,-105.353
134.452,29.1427,0.996953,0.653094,134.042,-104.899
133.473,29.827,0.997724,-1.01737,133.169,-103.342
130.68,28.8389,0.997394,-2.82636,130.34,-101.501
128.857,26.0437,0.99521,-1.85941,128.24,-102.197
127.336,24.2183,0.993144,-1.55908,126.463,-102.244
125.632,22.6944,0.990888,-1.7375,124.487,-101.793
125.155,20.9939,0.987306,-0.519717,123.567,-102.573
122.939,20.5072,0.986944,-2.23186,121.333,-100.826
123.198,18.3098,0.979262,0.211587,120.643,-102.334
123.175,18.5459,0.982143,-0.0580381,120.975,-102.429
125.489,18.5046,0.983616,2.24607,123.433,-104.928
122.27,20.7761,0.992232,-3.20166,121.32,-100.544
125.967,17.5794,0.982879,3.65273,123.81,-106.231
126.453,21.2233,0.9949,0.475835,125.808,-104.584
128.9,21.6938,0.996294,2.42934,128.422,-106.728
126.428,24.1231,0.998707,-2.47314,126.264,-102.141
126.212,21.644,0.997438,-0.219395,125.889,-104.245
126.683,21.4173,0.997765,0.465845,126.399,-104.982
127.821,21.8749,0.998536,1.13394,127.634,-105.759
126.902,23.0011,0.999315,-0.920737,126.815,-103.814
125.17,22.0714,0.999256,-1.73213,125.077,-103.006
127.323,20.3299,0.998832,2.15006,127.174,-106.844
128.005,22.4703,0.999717,0.680103,127.968,-105.498
132.991,23.1412,0.999879,4.98339,132.975,-109.833
133.729,28.1166,0.999997,0.73547,133.728,-105.612
131.502,28.8442,0.999999,-2.2292,131.502,-102.658
134.697,26.6071,0.999999,3.19228,134.697,-108.09
138.34,29.7914,1,3.64001,138.34,-108.548
139.568,33.4235,1,1.22539,139.568,-106.144
136.037,34.641,1,-3.53336,136.037,-101.396
134.764,31.0997,1,-1.27574,134.764,-103.664
133.033,29.8161,1,-1.73338,133.033,-103.217
133.74,28.0748,1,0.704412,133.74,-105.665
132.01,28.7713,1,-1.73203,132.01,-103.239
131.628,27.0313,1,-0.384845,131.628,-104.597
132.099,26.6385,1,0.467959,132.099,-105.46
